id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
146765,OO,6250,PDX,RDM,4,790,38,1
133772,DL,115,ATL,MSP,3,1050,163,1
103801,OH,6686,STL,CVG,2,370,73,0
120135,DL,2455,ATL,LAX,2,1315,308,0
433971,EV,7077,CAE,ORD,7,445,128,0
34066,B6,1295,BOS,PIT,4,1195,105,0
382728,US,1853,PHL,BWI,3,1235,49,0
496956,DL,1735,LAX,LIH,3,840,373,1
284629,AA,1878,DFW,OKC,5,735,55,0
406368,HA,43,SJC,HNL,5,540,340,0
435512,MQ,4475,DCA,RDU,7,525,65,0
408096,HA,161,ITO,HNL,5,634,49,0
303971,OO,4558,SLC,TUL,6,825,144,1
447062,HA,195,OGG,HNL,7,1140,33,1
129073,AA,1763,MIA,ORD,3,800,200,0
293693,WN,2297,IAD,MDW,5,1210,120,1
128077,CO,677,PHL,IAH,3,742,218,0
381062,DL,2515,ATL,PHX,3,1140,262,1
405744,MQ,3754,ORD,AUS,5,510,165,1
337585,XE,2374,DAL,IAH,1,780,67,1
235533,OO,4784,RNO,SLC,2,983,80,0
